word,tf,pmi,info_ent
游戏,0.0015398075240594927,6.279895187389479,4.945147719676047
可以,0.000891754825911385,5.8393459058707435,5.126332184652555
玩家,0.0008511053110004704,5.856851782038431,4.595155994610517
英雄,0.00081182052800503,7.03506205269676,4.175577560257177
技能,0.000574844578968019,5.905225524665439,4.383115157317001
没有,0.0004607919831748051,5.346874715208632,4.77072055695332
我们,0.00043583688529184547,5.570393890991832,4.957142232093525
什么,0.000429110706565579,6.897432345036434,3.526422187301228
伤害,0.0004121490384732549,7.411903647874569,4.585015087988814
王者,0.00040357072357598755,6.682025632254884,1.9985742939889557
自己,0.0003915805788900343,7.047318334214288,4.267323149576784
时候,0.00033250718312021583,6.596910040335185,1.4866179492243623
荣耀,0.0003119387235369952,7.891478616885513,0.7709930568032741
如果,0.0003072596426839403,6.591067522054187,4.497576070178657
皮肤,0.00029088285969824804,7.783255828790039,4.0584131258458065
王者荣耀,0.00027713805969239915,7.3782726979332,3.243739441016386
非常,0.00027704057884129384,7.371884451642996,4.290200198234104
比赛,0.0002726539405415549,5.910041504946516,3.7278410431171776
因为,0.0002703144001150274,6.16787350452784,4.8035080316253875
很多,0.0002657328001130778,5.587432029612238,4.400924120585934
装备,0.0002631008171332344,7.070808026408181,4.799446546059827
时间,0.0002630033362821291,6.075232633650822,4.176947031772202
世界,0.00026202852777107595,7.7299329209811365,3.735600201638791
已经,0.0002557897533003361,6.956939749936616,5.071873224031911
所以,0.0002543275405337564,5.5944083244950695,5.08553016320573
攻击,0.0002374633532925376,6.616589311810378,4.138964051503495
知道,0.00023317419584390392,7.279044915879875,2.6376035529913424
战队,0.00021211833200515673,5.722788695986627,4.190639717148806
选择,0.00020665940434325933,7.656595831293128,4.593959643126557
使用,0.00019983574476588754,6.517869521537265,4.998404491558387
需要,0.00019174483412414675,6.447557979354921,4.716519432467298
那么,0.00018833300433546086,5.764790137878504,4.931698553171211
求生,0.00018823552348435553,6.802636580155415,0.18136018301457604
这样,0.00018823552348435553,5.090990313604807,3.692501637308095
绝地,0.00018804056178214491,6.729064979052104,0.31383986049489454
地求生,0.00018394636603572185,7.209974421801194,0.1516712216736388
绝地求生,0.0001798521702892988,7.281966293586998,3.393033427927975
他们,0.00017955972773598286,5.3606731015305575,4.876305024805261
怎么,0.00017858491922492976,6.7829216802309995,4.058557212190514
比较,0.00017770759156498196,6.8036776368437515,4.767303028959828
效果,0.0001735159149674536,6.878689606357663,4.551993804844868
喜欢,0.0001727360681586111,7.776595129906655,4.287917444158645
NG,0.00016864187241218804,5.274441993625061,1.587350564872865
版本,0.00016844691070997742,6.644672139926052,3.8772487232210757
关注,0.00016523004262350216,7.2556650955174815,4.3066587226699955
打野,0.00016269554049476407,6.016865897706394,4.86771774706491
电影,0.0001621106553881322,6.737437798818883,4.252091697612221
之后,0.00016094088517486845,5.016167837516971,5.2075350148069335
吃鸡,0.00016055096177044722,8.004033651605104,4.455232529521455
职业,0.00015899126815276224,8.052154574562653,4.347156824701201
而且,0.00015674920857734008,6.580107627820037,5.24132230349607
开始,0.00015577440006628697,7.014141953108054,4.842028885517593
大招,0.0001543121872997073,5.853994036957433,4.356110220912057
获得,0.0001516802043198639,6.7313776346412615,4.818410018517131
对于,0.00015031547240438957,5.226032119036429,4.756676063832847
问题,0.00014924318304223113,7.913407510108342,3.4850111859828696
虽然,0.00014553891070022933,7.195340758321428,5.049956084641562
觉得,0.00014475906389138684,6.375046432649462,3.475091687911942
小编,0.00014124975325159565,6.648705383722652,4.567467304518543
队友,0.00014076234899606908,6.224591068341175,4.563624922928329
PL,0.00014076234899606908,5.445845804051532,1.6836018905084558
作为,0.00013793540431401507,5.157339325013932,4.482339847728288
敌人,0.00013491349792975042,5.481970600742503,4.274402636017394
直接,0.0001346210553764345,6.885571692861493,5.2297173734285805
模式,0.00013432861282311855,7.656181866310328,4.391776805904474
输出,0.00013403617026980263,6.102425437901667,4.551027387104277
武器,0.00013335380431206545,7.563000504711904,4.565672712644669
今天,0.00013276891920543357,6.474069482337549,4.335232822707843
进行,0.00013179411069438047,6.4085609774905326,5.010429585694109
或者,0.00013179411069438047,6.508674347681536,5.508867729852056
其实,0.00013081930218332736,6.109784289117844,4.511480675951011
体验,0.00012906464686343177,7.442246637045552,3.733505257933567
然后,0.0001248729702659034,5.013982491056846,5.038515949540674
第二,0.0001232157957971131,6.374150495224649,3.798229319740678
其他,0.00012204602558384937,5.692078482872955,4.663828898315606
联盟,0.00012194854473274407,8.264748723349033,1.1566204485165226
属性,0.00011951152345511129,7.251131649488548,4.621784409388447
射手,0.00011882915749737411,6.322415607780396,4.624853616168444
被动,0.0001187316766462688,5.521482419103782,3.999556255887228
速度,0.00011843923409295286,6.69393620358038,3.6580160640014987
起来,0.00011648961707084665,5.2038702896705535,3.8354344804510045
操作,0.00011590473196421478,7.203459042454075,4.457777067966656
这款,0.00011551480855979353,5.112319987934995,2.1453426991611364
情况,0.00011551480855979353,7.735391037080928,2.3206241579059537
能够,0.00011268786387773951,5.771781923571431,5.102237061591784
RN,0.00011210297877110765,5.4120665860280015,0.6120352242123668
前期,0.00011151809366447578,5.914053668402326,4.678372141544163
基本,0.00011103068940894923,6.707123967407433,3.3221058545084015
物理,0.00011103068940894923,6.706538367102273,2.65721211909751
应该,0.00011093320855784392,7.8165978711445465,3.8050821040661407
辅助,0.00010995840004679081,8.427203573081439,4.554130124117356
为什么,0.00010761885962026334,5.249379432932242,4.363297980850839
直播,0.0001073264170669474,6.914364593308389,4.480193403039046
