word,tf,pmi,info_ent
游戏,0.0015967777911570212,6.253772213675675,4.869051831233843
可以,0.0009377795246525625,5.833707666579514,5.090322686767931
玩家,0.000877719938165622,5.8537077703505,4.54599404327256
英雄,0.000780346963723288,7.074600321549071,4.034146918552229
技能,0.0005150904722696176,5.88427900000314,4.443348607391697
没有,0.00046922387217545204,5.319824649475648,4.664662885317946
什么,0.00045436266608433546,6.850527366243587,3.482801958640791
我们,0.0004403033236312288,5.5400874913344085,4.913050041200211
自己,0.0004018940553705552,7.06252099165562,4.186664718510497
王者,0.0003836115644239298,6.6855652918571336,1.9155235799899613
时候,0.00034260960373369093,6.584120361277779,1.465930897975624
伤害,0.0003362214234175455,7.563491831738712,4.478529761193664
皮肤,0.0003355799325071376,7.6815751792763205,4.008690335526431
如果,0.00032371235066459126,6.580934921119433,4.3655762335595405
非常,0.00029305443090467994,7.343651736920835,4.170213499504856
很多,0.00028754830059034536,5.6046199968953045,4.328248900903547
世界,0.00027776556420662475,7.700418094433484,3.5966844963197326
因为,0.00027763192026695647,6.1467325749482455,4.668497624510707
王者荣耀,0.0002658445247882111,7.411530559386037,3.1061311839293153
时间,0.0002655772369088745,6.053584789336672,4.058356101686801
比赛,0.00026285090053964087,5.916243591080275,3.6492325205816396
所以,0.00026266379902410524,5.582692233615827,5.053739307856345
已经,0.00025862775204612214,6.9660563841014,4.9209626138607865
知道,0.00023085654138304637,7.314476014643011,2.5756917559150208
选择,0.0002211272625751931,7.614879668232458,4.509043810323869
装备,0.00022008483984578024,7.1361064501021785,4.721865534413385
攻击,0.00020917949436884578,6.631293319592363,4.137393468636767
那么,0.0002003055367748697,5.743793475366669,4.864796217195378
需要,0.00019744555646596776,6.444905355313933,4.661548218786934
这样,0.00019477267767260148,5.056766011285942,3.5735370971151754
战队,0.00019453211858119852,5.700491998555179,4.173463974463504
喜欢,0.0001861125503820947,7.734809152268444,4.21307655534926
他们,0.0001850433988647482,5.336315477435156,4.77449671219107
使用,0.0001822903337075809,6.513109640226906,4.865765864572117
打野,0.00018210323219204527,5.97057637272092,4.798708691586837
绝地求生,0.00018098062309883142,7.2773991448001345,3.2894565053497726
怎么,0.00017975109885388295,6.73456235784866,4.077875185271053
比较,0.00017889577764000573,6.813302018700904,4.617933348854246
版本,0.00017707822006051666,6.62361435878466,3.749947396635772
而且,0.00016863192307347918,6.564149803515095,5.117121331150791
吃鸡,0.00016598577306804654,7.963750960665065,4.3647598013174145
之后,0.00016424840185235847,5.05211481500378,5.056181431585619
关注,0.00016419494427649114,7.244092586032952,4.308345604619999
电影,0.00015983815184330408,6.6934699385369205,4.101257437708462
开始,0.00015823442456728431,7.010571872774,4.719359779531909
职业,0.0001570316291102695,8.105010196219775,4.281612346190509
获得,0.00015663069729126455,6.704192908160239,4.7122372513370605
大招,0.00015566846092565268,5.8765257065157845,4.2739956471315095
NG,0.00015510715637904576,5.2516998776735795,1.1896388900743262
效果,0.00015307576849608737,6.797307898721282,4.49488031679954
对于,0.00015067017758205772,5.230089487096461,4.652262970570362
觉得,0.00015037616091478743,6.362708997576763,3.4277313944605914
PL,0.00015026924576305278,5.563953114897553,1.5525039460131973
队友,0.00014903972151810428,6.294712444407738,4.500570905824981
问题,0.0001483715018197627,7.9232613835414485,3.4014832988187744
虽然,0.00014703506242307957,7.169923727460046,4.877131945042469
小编,0.0001436939639313717,6.65362214262506,4.500676146227937
模式,0.00014158238968461234,7.635417545144409,4.337960382452329
直接,0.0001377067154342312,6.908781602812617,5.03907440166122
其实,0.00013701176694795597,6.152621738116718,4.416938064124361
或者,0.00013559514118747183,6.527856950669099,5.28455710074674
联盟,0.00013377758360798276,8.203962986989943,1.2189350672984547
作为,0.00013081068814734618,5.10146809839458,4.460268855564034
敌人,0.00012754977601943932,5.427480321026136,4.132539233565184
输出,0.00012746958965563832,6.0676883533716595,4.471918644916879
这款,0.00012709538662456705,5.103465523766476,2.101355058706932
武器,0.00012645389571415912,7.638993977068461,4.373942121990472
然后,0.0001245294229829354,5.013267620301027,4.884897646624121
今天,0.0001239681184363285,6.473322952375284,4.187750380750959
其他,0.00012292569570691563,5.661293728428258,4.600928204057703
对面,0.00012239111994824238,5.009035138611841,4.616543796966304
情况,0.00012126851085502853,7.734353047414346,2.2770766006748153
进行,0.00012041318964115132,6.384351541229208,4.914364962665454
操作,0.00011923712297207016,7.181700190018086,4.265594956240388
第二,0.0001184085305461266,6.371705989850877,3.7247394624627472
RNG,0.00011667115933043851,6.716499437030195,4.4886754808394045
为什么,0.00011525453356995438,5.254731748960512,4.347346441194337
辅助,0.00011520107599408705,8.408559946184331,4.4188132962435605
基本,0.00011434575478020984,6.69812896221585,3.210000807001562
起来,0.00011303604417146036,5.131187609254401,3.724642941813056
能够,0.00011298258659559303,5.781939964256986,5.012739244373212
速度,0.00011188670629031286,6.726464289409203,3.5560540731918193
应该,0.00011148577447130792,7.834636382120437,3.7771483787061766
感觉,0.00011087101234883367,7.0150946516920625,4.0520363640767885
体验,0.00010905345476934459,7.447331165976447,3.775074508401417
选手,0.00010867925173827331,5.484665549750618,3.6325048108431717
属性,0.00010841196385893668,7.2555914689468075,4.513136878681646
地图,0.00010817140476753372,6.057522275087177,3.8693054243318814
英雄联盟,0.00010651421991564662,6.927871811374803,3.653538317265919
目前,0.00010483030627582585,6.4417360675056745,4.583893985627507
当然,0.00010461647597235656,5.71720139522356,4.024238488783584
前期,0.00010319985021187242,5.876115174109879,4.61049500295724
直播,0.00010197032596692393,6.916783401474903,4.341052311156271
